# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=42164,avg_time_us=1405.47,min_time_us=67,max_time_us=2619
cmdstat_ping:calls=31,total_time_us=590,avg_time_us=19.03,min_time_us=6,max_time_us=75
cmdstat_bench_key_0:calls=926,total_time_us=51246,avg_time_us=55.34,min_time_us=1,max_time_us=18437
cmdstat_bench_key_1:calls=900,total_time_us=55738,avg_time_us=61.93,min_time_us=1,max_time_us=13080
cmdstat_bench_key_10:calls=895,total_time_us=109846,avg_time_us=122.73,min_time_us=1,max_time_us=56762
cmdstat_bench_key_100:calls=841,total_time_us=15904,avg_time_us=18.91,min_time_us=1,max_time_us=4966
cmdstat_bench_key_1000:calls=895,total_time_us=278700,avg_time_us=311.40,min_time_us=1,max_time_us=213175
cmdstat_bench_key_1001:calls=919,total_time_us=70140,avg_time_us=76.32,min_time_us=1,max_time_us=25867
cmdstat_bench_key_1002:calls=924,total_time_us=25208,avg_time_us=27.28,min_time_us=1,max_time_us=5713
cmdstat_bench_key_1003:calls=941,total_time_us=35476,avg_time_us=37.70,min_time_us=1,max_time_us=6633
cmdstat_bench_key_1004:calls=917,total_time_us=21464,avg_time_us=23.41,min_time_us=1,max_time_us=9342
cmdstat_bench_key_1005:calls=897,total_time_us=78034,avg_time_us=86.99,min_time_us=1,max_time_us=48551
cmdstat_bench_key_1006:calls=922,total_time_us=103379,avg_time_us=112.12,min_time_us=1,max_time_us=85900
cmdstat_bench_key_1007:calls=932,total_time_us=49653,avg_time_us=53.28,min_time_us=1,max_time_us=32627
cmdstat_bench_key_1008:calls=925,total_time_us=30102,avg_time_us=32.54,min_time_us=1,max_time_us=11421
cmdstat_bench_key_1009:calls=907,total_time_us=54949,avg_time_us=60.58,min_time_us=1,max_time_us=21811
cmdstat_bench_key_101:calls=884,total_time_us=75130,avg_time_us=84.99,min_time_us=1,max_time_us=26104
cmdstat_bench_key_1010:calls=860,total_time_us=44798,avg_time_us=52.09,min_time_us=1,max_time_us=14944
cmdstat_bench_key_1011:calls=888,total_time_us=59121,avg_time_us=66.58,min_time_us=1,max_time_us=42317
cmdstat_bench_key_1012:calls=926,total_time_us=18011,avg_time_us=19.45,min_time_us=1,max_time_us=2898
cmdstat_bench_key_1013:calls=915,total_time_us=112856,avg_time_us=123.34,min_time_us=1,max_time_us=75672
cmdstat_bench_key_1014:calls=936,total_time_us=46454,avg_time_us=49.63,min_time_us=1,max_time_us=25337
cmdstat_bench_key_1015:calls=912,total_time_us=22985,avg_time_us=25.20,min_time_us=1,max_time_us=7930
cmdstat_bench_key_1016:calls=866,total_time_us=280029,avg_time_us=323.36,min_time_us=1,max_time_us=138513
cmdstat_bench_key_1017:calls=909,total_time_us=40061,avg_time_us=44.07,min_time_us=1,max_time_us=19011
cmdstat_bench_key_1018:calls=899,total_time_us=67075,avg_time_us=74.61,min_time_us=1,max_time_us=30510
cmdstat_bench_key_1019:calls=920,total_time_us=25015,avg_time_us=27.19,min_time_us=1,max_time_us=10884
cmdstat_bench_key_102:calls=926,total_time_us=58357,avg_time_us=63.02,min_time_us=1,max_time_us=41213
cmdstat_bench_key_1020:calls=886,total_time_us=42851,avg_time_us=48.36,min_time_us=1,max_time_us=9955
cmdstat_bench_key_1021:calls=867,total_time_us=33447,avg_time_us=38.58,min_time_us=1,max_time_us=9897
cmdstat_bench_key_1022:calls=908,total_time_us=39580,avg_time_us=43.59,min_time_us=1,max_time_us=23228
cmdstat_bench_key_1023:calls=864,total_time_us=48771,avg_time_us=56.45,min_time_us=1,max_time_us=22758
cmdstat_bench_key_1024:calls=902,total_time_us=57678,avg_time_us=63.94,min_time_us=1,max_time_us=15727
cmdstat_bench_key_1025:calls=841,total_time_us=58874,avg_time_us=70.00,min_time_us=0,max_time_us=26642
cmdstat_bench_key_1026:calls=919,total_time_us=77786,avg_time_us=84.64,min_time_us=1,max_time_us=33490
cmdstat_bench_key_1027:calls=875,total_time_us=24696,avg_time_us=28.22,min_time_us=1,max_time_us=6485
cmdstat_bench_key_1028:calls=912,total_time_us=48879,avg_time_us=53.60,min_time_us=1,max_time_us=33573
cmdstat_bench_key_1029:calls=883,total_time_us=13993,avg_time_us=15.85,min_time_us=1,max_time_us=3923
cmdstat_bench_key_103:calls=865,total_time_us=105485,avg_time_us=121.95,min_time_us=1,max_time_us=55054
cmdstat_bench_key_1030:calls=846,total_time_us=103291,avg_time_us=122.09,min_time_us=0,max_time_us=79361
cmdstat_bench_key_1031:calls=858,total_time_us=29857,avg_time_us=34.80,min_time_us=1,max_time_us=16615
cmdstat_bench_key_1032:calls=920,total_time_us=136207,avg_time_us=148.05,min_time_us=1,max_time_us=106586
cmdstat_bench_key_1033:calls=872,total_time_us=47176,avg_time_us=54.10,min_time_us=1,max_time_us=26803
cmdstat_bench_key_1034:calls=888,total_time_us=35432,avg_time_us=39.90,min_time_us=1,max_time_us=15205
cmdstat_bench_key_1035:calls=875,total_time_us=30718,avg_time_us=35.11,min_time_us=1,max_time_us=7728
cmdstat_bench_key_1036:calls=906,total_time_us=96954,avg_time_us=107.01,min_time_us=1,max_time_us=59035
cmdstat_bench_key_1037:calls=914,total_time_us=149976,avg_time_us=164.09,min_time_us=1,max_time_us=132626
cmdstat_bench_key_1038:calls=862,total_time_us=31217,avg_time_us=36.21,min_time_us=0,max_time_us=11500
