elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000014,0.0000,1501684,
0.255861,17.6000,1520014,71644.320823
0.516800,41.0000,1532857,49218.421804
0.813687,34.7000,1540112,24436.913480
1.081394,36.0000,1548438,31101.153858
1.311546,37.8000,1560681,53195.304671
1.626428,42.2000,1569910,29309.388364
1.873696,37.7000,1582730,51846.537501
2.187685,44.2000,1601360,59333.348155
2.423288,51.3000,1615342,59345.570368
2.669658,61.5000,1627906,50996.452760
2.922639,63.6000,1648019,79504.010872
3.151468,91.4000,1664238,70878.209021
3.421291,66.2000,1677627,49621.404814
3.706978,51.9000,1689918,43022.649118
4.022209,36.4000,1702929,41274.482836
4.292927,50.3000,1711019,29883.484219
4.539741,48.3000,1729857,76324.677870
4.796859,62.9000,1745654,61438.777007
5.035033,54.6000,1759946,60006.559498
5.355469,40.2000,1774063,44055.599133
5.639442,55.7000,1789647,54878.414817
5.873476,46.6000,1806320,71241.839258
6.140359,48.0000,1816637,38657.369661
6.412133,45.3000,1825726,33443.221972
6.711251,40.8000,1838210,41736.031424
6.987132,39.9000,1848182,36146.043902
7.302270,41.1000,1863066,47230.087144
7.552859,47.2000,1876096,51997.515922
7.873561,31.8000,1881342,16357.861059
8.192486,35.2000,1894795,42182.343984
8.435468,29.4000,1901996,29635.921922
8.679677,38.9000,1911317,38168.118490
8.911772,35.4000,1919430,34955.513435
9.184096,49.3000,1930492,40620.718474
9.429013,32.8000,1942943,50837.648166
9.685638,42.9000,1949331,24892.358760
9.921542,38.9000,1963983,62110.016553
10.173486,44.6000,1974098,40147.838244
10.401759,43.0000,1985737,50987.160914
