elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000007,0.0000,4500994,
0.230015,79.9000,4536960,156368.388953
0.455207,175.4000,4572540,157998.626100
0.680261,223.9000,4608134,158157.412157
0.905305,240.6000,4646290,169549.056867
1.132543,175.5000,4652621,27860.693717
1.392654,91.4000,4660613,30725.333133
1.698406,48.5000,4673484,42096.170503
1.970640,60.4000,4690288,61726.317371
2.238229,48.1000,4700806,39306.569946
2.469048,45.6000,4716702,68867.818085
2.734528,54.0000,4736519,74645.912694
3.005587,55.2000,4743185,24592.450248
3.256010,52.5000,4758194,59934.544487
3.535689,74.7000,4777198,67949.370974
3.766171,90.5000,4795866,80995.359607
3.999469,69.5000,4810437,62456.647458
4.280991,49.5000,4815488,17941.772362
4.524669,38.7000,4829371,56972.704569
4.842974,37.9000,4837826,26562.572333
5.105386,37.4000,4845507,29270.757111
5.338827,28.8000,4849166,15674.204375
5.606766,42.4000,4866414,64372.839189
5.865617,53.2000,4885205,72593.938526
6.153888,38.9000,4889250,14031.926041
6.404388,32.8000,4901815,50159.687895
6.704162,27.5000,4911044,30786.508399
7.041067,41.4000,4923944,38289.752392
7.292564,38.9000,4932726,34918.901392
7.626058,48.4000,4953389,61959.145361
7.890387,35.1000,4959007,21253.819756
8.204962,42.6000,4970510,36566.773768
8.510102,56.0000,4990387,65140.587263
8.745138,56.0000,5000160,41580.882554
