elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000009,0.0000,2501892,
0.255613,23.0000,2520301,72021.556520
0.490899,52.4000,2533970,58095.254931
0.735302,34.2000,2538982,20507.122864
0.968210,36.1000,2552352,57404.637875
1.214127,48.8000,2567234,60516.391612
1.453942,37.6000,2580674,56043.200733
1.737029,49.7000,2596502,55912.137091
1.982626,45.1000,2604041,30696.613520
2.223413,42.3000,2621363,71939.162190
2.510066,93.7000,2643465,77103.600489
2.751057,99.4000,2662380,78488.448291
3.054913,60.0000,2669920,24814.394255
3.296139,47.5000,2686443,68495.945237
3.570568,47.7000,2698070,42367.921713
3.823677,43.0000,2707992,39200.505916
4.060209,37.9000,2714429,27214.079862
4.296007,42.3000,2726370,50640.828046
4.548044,53.0000,2741045,58225.621903
4.792057,54.1000,2752700,47763.834738
5.039124,44.4000,2761011,33638.619617
5.292677,44.6000,2771778,42464.509062
5.566661,45.7000,2787609,57780.755730
5.840945,45.8000,2798164,38481.993896
6.088103,47.1000,2808478,41730.382553
6.353638,36.9000,2817426,33698.021423
6.597481,42.7000,2829397,49093.048152
6.831099,31.5000,2839569,43541.161576
7.097814,44.7000,2854832,57225.918291
7.362160,38.7000,2869016,53656.924690
7.739769,48.5000,2881054,31879.535544
8.019960,46.2000,2897245,57785.593389
8.247415,41.7000,2912230,65881.192057
8.515974,51.1000,2922777,39272.530282
8.748214,50.6000,2937502,63404.312564
8.982883,50.6000,2951217,58443.969220
9.252683,39.7000,2957179,22097.854540
9.562981,39.4000,2971434,45939.714603
9.806038,41.9000,2988267,69255.356276
