elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000009,0.0000,8001291,
0.241689,30.4000,8019106,73713.130140
0.463877,53.7000,8038947,89298.349396
0.687144,61.9000,8053742,66265.927364
0.916516,122.5000,8081870,122630.473602
1.138328,115.9000,8093854,54027.732809
1.388725,77.9000,8102952,36334.305928
1.618014,54.1000,8116904,60848.957696
1.867060,54.6000,8130643,55166.548905
2.096851,56.0000,8142504,51616.431951
2.325424,55.6000,8156998,63410.856924
2.609818,54.1000,8171818,52110.799297
2.835148,49.6000,8182902,49190.051810
3.091993,56.5000,8202580,76614.301227
3.372249,60.4000,8218359,56302.088609
3.613674,48.8000,8232019,56580.765764
3.867372,53.7000,8247473,60914.919566
4.162150,53.5000,8258848,38588.378405
4.389798,53.6000,8274452,68544.413496
4.619103,52.7000,8285434,47892.538825
4.864523,56.8000,8300911,63063.264130
5.109166,60.1000,8313712,52325.230706
5.336191,58.3000,8327869,62358.827747
5.563513,60.0000,8341995,62140.900075
5.782584,57.1000,8354067,55105.384756
6.009402,53.6000,8365987,52553.239193
6.246448,54.4000,8382019,67632.373671
6.497920,56.5000,8400112,71948.369066
6.744689,107.4000,8426244,105896.628608
7.008981,138.9000,8451392,95152.330891
7.258470,93.0000,8466840,61918.544419
7.573583,66.2000,8483050,51441.891594
7.834877,65.3000,8496081,49871.002361
