elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000006,0.0000,4003535,
0.278592,32.4000,4023962,73323.943136
0.533602,50.2000,4039981,62817.112890
0.779761,47.7000,4052195,49618.320658
1.063073,74.6000,4072115,70311.215118
1.299859,92.9000,4091510,81909.441938
1.539542,102.3000,4106998,64618.643069
1.856716,44.7000,4113423,20257.022500
2.101867,38.7000,4127387,56960.801931
2.395393,35.2000,4139737,42074.646770
2.680830,48.6000,4155744,56078.903557
2.934239,48.3000,4165950,40274.827142
3.169958,32.0000,4176021,42724.563087
3.428559,40.1000,4186712,41341.688768
3.690446,35.0000,4195739,34469.086606
3.967391,36.7000,4214977,69465.027610
4.235114,57.4000,4225658,39895.736193
4.474946,35.8000,4237565,49647.219364
4.746322,46.1000,4250726,48497.306741
5.012731,44.3000,4261263,39551.943526
5.319896,41.4000,4272357,36117.407069
5.552519,55.7000,4286932,62655.062720
5.778837,50.8000,4297997,48891.356791
6.077819,52.6000,4313933,53300.842046
6.348677,40.0000,4320194,23115.428964
6.619748,36.3000,4332149,44102.843492
6.861588,52.6000,4344564,51335.618041
7.088397,31.6000,4348063,15427.075721
7.336097,51.8000,4362718,59164.317408
7.599374,35.0000,4370029,27769.225968
7.855560,49.1000,4383076,50927.887206
8.081369,43.4000,4399871,74376.985700
8.412414,50.4000,4414405,43903.408445
8.673092,43.7000,4427272,49359.691345
8.918113,75.2000,4453457,106868.449146
9.142244,116.2000,4469043,69539.655542
9.488154,46.9000,4474036,14434.397379
9.711937,41.8000,4483588,42684.204378
9.990112,35.5000,4491951,30063.822029
