elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000014,0.0000,5501379,
0.285142,27.7000,5515425,49262.065654
0.514144,39.4000,5533070,77051.729176
0.784887,46.2000,5542761,35794.106670
1.125638,38.8000,5554233,33666.795517
1.420101,48.5000,5566899,43013.904885
1.663034,31.7000,5578441,47511.035314
1.932960,42.0000,5592030,50343.458652
2.230418,28.4000,5595795,12657.251923
2.470468,28.4000,5608009,50880.999495
2.794260,37.6000,5619861,36603.774744
3.028912,93.4000,5649162,124869.870854
3.246778,240.1000,5691986,196561.239594
3.477240,210.1000,5718144,113502.523757
3.693682,223.7000,5753566,163655.950871
3.916563,269.1000,5799205,204768.391566
4.169584,229.5000,5834934,141209.488843
4.389341,242.0000,5868916,154634.548546
4.607157,247.1000,5904009,161113.141261
4.833561,228.1000,5934274,133676.854618
5.164660,109.2000,5946441,36747.340027
5.423189,66.1000,5953417,26983.413754
5.662714,59.5000,5973158,82417.256775
5.907534,61.4000,5992274,78081.894479
6.179100,53.8000,5998280,22116.177646
