elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000006,0.0000,10001210,
0.229069,44.7000,10034262,144292.160173
0.452408,214.4000,10080034,204943.979504
0.682128,271.6000,10122420,184511.677913
0.900695,171.4000,10133584,51078.128030
1.132280,103.8000,10145177,50059.367874
1.352606,79.8000,10156194,50003.189182
1.582969,63.8000,10168785,54657.240506
1.822775,63.5000,10185046,67808.996792
2.048767,66.5000,10199709,64882.769498
2.282975,63.3000,10213397,58443.749773
2.524313,55.6000,10224647,46615.163933
2.761335,67.6000,10241871,72668.383486
2.994290,121.6000,10272108,129797.479286
3.216239,124.0000,10286809,66235.978245
3.453488,68.8000,10294731,33391.059435
3.680070,69.2000,10313476,82729.412914
3.995510,57.9000,10328033,46148.281114
4.234469,64.9000,10349036,87893.711867
4.522351,59.5000,10363682,50874.995452
4.752166,55.2000,10375694,52268.127289
5.036265,55.5000,10390836,53298.302924
5.257616,55.6000,10400406,43234.518776
5.481527,57.0000,10416434,71581.997476
5.749888,65.5000,10436391,74366.220081
6.008377,52.2000,10447481,42903.197307
6.238937,53.2000,10462444,64898.556987
6.467724,59.8000,10476979,63530.722779
6.700081,57.2000,10490990,60299.384599
