elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000007,0.0000,12501062,
0.229132,37.2000,12523086,96122.194435
0.490604,55.3000,12537902,56663.813906
0.711568,58.6000,12550478,56914.260085
0.935618,54.9000,12560776,45962.945463
1.174945,54.8000,12573469,53036.232626
1.402200,53.7000,12583336,43418.211923
1.629924,57.3000,12603143,86978.067525
1.893387,63.3000,12617693,55225.916773
2.147670,57.0000,12630790,51505.664104
2.385170,61.0000,12644604,58164.163815
2.643503,58.2000,12668758,93499.487153
2.922836,50.3000,12681462,45479.749213
3.191799,59.8000,12698520,63421.395776
3.435592,51.7000,12711069,51473.994121
3.676082,55.3000,12725737,60992.151262
3.895750,55.3000,12742008,74070.820025
4.181005,60.2000,12756376,50369.018109
4.401942,63.3000,12768903,56699.417605
4.656496,52.1000,12783066,55638.482005
4.885785,63.2000,12797997,65118.677420
5.117512,55.3000,12811229,57101.645305
5.367319,63.4000,12828289,68292.754527
5.602870,48.6000,12845197,71780.669930
5.854545,113.1000,12873575,112756.473474
6.074574,105.8000,12886116,56997.064005
6.305751,68.4000,12898293,52673.904303
6.556585,65.8000,12915020,66685.476803
6.793018,65.2000,12926781,49743.523148
7.018532,51.8000,12935600,39106.230826
7.242944,56.4000,12949786,63214.031237
7.485054,50.8000,12962570,52802.442125
7.720649,52.9000,12979527,71975.215404
7.960566,51.5000,12989310,40776.635654
8.185517,56.2000,13000934,51673.468936
