elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000013,0.0000,3501752,
0.351738,36.9000,3522086,57812.194566
0.607398,36.8000,3532467,40604.738182
0.852857,40.5000,3544485,48961.317759
1.099229,41.1000,3553530,36712.778115
1.419457,44.6000,3568433,46538.736307
1.655200,43.8000,3584276,67204.527479
1.935060,61.1000,3606319,78764.376651
2.292693,58.2000,3621027,41125.973058
2.540836,41.1000,3629707,34979.802534
2.806790,41.6000,3641678,45011.540364
3.074999,64.3000,3661451,73722.363653
3.329305,56.6000,3677363,62570.270156
3.622678,39.1000,3682739,18324.802867
3.883349,49.7000,3697769,57658.910067
4.115583,43.4000,3707642,42513.154623
4.377028,34.9000,3722027,55021.122982
4.667976,53.5000,3736302,49063.724500
4.986550,56.9000,3749681,41996.528366
5.232681,52.9000,3766577,68646.320560
5.493518,42.9000,3773232,25514.034016
5.749663,40.0000,3790791,68551.079711
6.000261,56.4000,3809184,73396.379429
6.288661,43.8000,3818362,31823.862954
6.538599,43.6000,3830502,48571.997363
6.810975,43.3000,3842820,45224.278376
7.062543,36.3000,3850941,32281.520106
7.332821,39.2000,3866436,57329.915819
7.594754,83.8000,3891731,96570.464480
7.826417,82.4000,3904279,54164.832969
8.060173,56.6000,3914136,42167.932790
8.373979,41.5000,3920769,21137.259312
8.604989,37.6000,3937234,71273.909551
8.858427,46.3000,3945711,33448.054796
9.114340,51.4000,3959087,52267.758955
9.361672,44.4000,3973860,59729.409296
9.629387,43.4000,3988525,54778.455842
9.887923,40.5000,3998270,37692.960475
