# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=47214,avg_time_us=1573.80,min_time_us=13,max_time_us=4645
cmdstat_ping:calls=31,total_time_us=582,avg_time_us=18.77,min_time_us=5,max_time_us=72
cmdstat_bench_key_0:calls=1209,total_time_us=65596,avg_time_us=54.26,min_time_us=1,max_time_us=35909
cmdstat_bench_key_1:calls=1208,total_time_us=164035,avg_time_us=135.79,min_time_us=1,max_time_us=97905
cmdstat_bench_key_10:calls=1173,total_time_us=36685,avg_time_us=31.27,min_time_us=1,max_time_us=6955
cmdstat_bench_key_100:calls=1215,total_time_us=93850,avg_time_us=77.24,min_time_us=1,max_time_us=67839
cmdstat_bench_key_1000:calls=1207,total_time_us=102126,avg_time_us=84.61,min_time_us=1,max_time_us=36748
cmdstat_bench_key_1001:calls=1243,total_time_us=53113,avg_time_us=42.73,min_time_us=1,max_time_us=22376
cmdstat_bench_key_1002:calls=1227,total_time_us=25835,avg_time_us=21.06,min_time_us=1,max_time_us=6213
cmdstat_bench_key_1003:calls=1256,total_time_us=32444,avg_time_us=25.83,min_time_us=1,max_time_us=5364
cmdstat_bench_key_1004:calls=1220,total_time_us=113099,avg_time_us=92.70,min_time_us=1,max_time_us=72165
cmdstat_bench_key_1005:calls=1190,total_time_us=127098,avg_time_us=106.81,min_time_us=1,max_time_us=60377
cmdstat_bench_key_1006:calls=1203,total_time_us=33005,avg_time_us=27.44,min_time_us=0,max_time_us=4975
cmdstat_bench_key_1007:calls=1225,total_time_us=75782,avg_time_us=61.86,min_time_us=1,max_time_us=33997
cmdstat_bench_key_1008:calls=1154,total_time_us=45064,avg_time_us=39.05,min_time_us=1,max_time_us=28253
cmdstat_bench_key_1009:calls=1162,total_time_us=262781,avg_time_us=226.15,min_time_us=1,max_time_us=216615
cmdstat_bench_key_101:calls=1194,total_time_us=258972,avg_time_us=216.89,min_time_us=1,max_time_us=202761
cmdstat_bench_key_1010:calls=1216,total_time_us=53921,avg_time_us=44.34,min_time_us=1,max_time_us=7425
cmdstat_bench_key_1011:calls=1282,total_time_us=49606,avg_time_us=38.69,min_time_us=1,max_time_us=13597
cmdstat_bench_key_1012:calls=1199,total_time_us=169579,avg_time_us=141.43,min_time_us=1,max_time_us=107373
cmdstat_bench_key_1013:calls=1189,total_time_us=57098,avg_time_us=48.02,min_time_us=1,max_time_us=12578
cmdstat_bench_key_1014:calls=1238,total_time_us=32692,avg_time_us=26.41,min_time_us=1,max_time_us=9739
cmdstat_bench_key_1015:calls=1175,total_time_us=49204,avg_time_us=41.88,min_time_us=1,max_time_us=20844
cmdstat_bench_key_1016:calls=1260,total_time_us=71363,avg_time_us=56.64,min_time_us=1,max_time_us=26843
cmdstat_bench_key_1017:calls=1197,total_time_us=69814,avg_time_us=58.32,min_time_us=1,max_time_us=47758
cmdstat_bench_key_1018:calls=1201,total_time_us=57934,avg_time_us=48.24,min_time_us=0,max_time_us=14080
cmdstat_bench_key_1019:calls=1235,total_time_us=149210,avg_time_us=120.82,min_time_us=1,max_time_us=96628
