elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000006,0.0000,11502017,
0.234424,30.2000,11523960,93606.326836
0.465942,55.9000,11543824,85798.933179
0.762295,53.3000,11562098,61662.928086
1.021743,56.2000,11573921,45569.816130
1.300187,57.5000,11588088,50879.161941
1.529360,53.9000,11599338,49089.564211
1.769952,54.3000,11615446,66951.585134
1.991450,59.8000,11630788,69264.655289
2.217780,52.0000,11644037,58538.468187
2.470614,53.5000,11660967,66960.909263
2.689940,78.1000,11680042,86970.985303
2.909237,111.0000,11699829,90229.260390
3.195268,70.4000,11713318,47159.222720
3.446402,57.5000,11723791,41702.809835
3.742732,48.0000,11737313,45631.563240
3.971218,59.4000,11753669,71584.310170
4.220831,55.1000,11765746,48382.887683
4.445534,56.2000,11788160,99749.414419
4.705381,57.3000,11805125,65288.378479
4.991267,59.0000,11816106,38410.440754
5.219965,54.7000,11825272,40079.095339
5.462700,56.7000,11841417,66512.823412
5.691478,47.4000,11850073,37835.785407
5.936991,50.9000,11864039,56884.980193
6.169762,55.4000,11876297,52661.217349
6.437962,49.8000,11886983,39843.412235
6.663478,48.2000,11897088,44808.334561
6.898221,57.5000,11913112,68261.852007
7.121451,57.6000,11929064,71459.966002
7.364504,51.1000,11938915,40530.221724
7.596773,54.6000,11954424,66771.703279
7.852256,53.2000,11967248,50195.184734
8.097678,62.9000,11987692,83301.373140
8.328541,54.8000,11997590,42873.938993
