elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000013,0.0000,11001737,
0.267523,32.5000,11016969,56939.940828
0.501810,46.0000,11029534,53630.743280
0.727374,53.4000,11044336,65622.242243
0.956758,51.2000,11058073,59886.492806
1.179027,181.2000,11102522,199978.137650
1.395815,283.5000,11146085,200947.640812
1.609616,307.4000,11186043,186893.292347
1.824404,312.4000,11226780,189661.468874
2.041261,323.6000,11269127,195276.188908
2.261732,326.0000,11311372,191612.584625
2.485416,310.9000,11351673,180169.287650
2.706424,314.0000,11374855,104892.214159
2.946717,148.2000,11392140,71932.935965
3.202844,91.3000,11405230,51107.482225
3.443653,74.1000,11416490,46759.056737
3.669328,61.8000,11432136,69329.755833
3.899707,60.6000,11447486,66629.375574
4.128527,52.1000,11461294,60344.352937
4.376567,60.0000,11477221,64211.427645
4.598451,63.6000,11490276,58837.046749
