# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=47933,avg_time_us=1597.77,min_time_us=18,max_time_us=4260
cmdstat_ping:calls=31,total_time_us=720,avg_time_us=23.23,min_time_us=7,max_time_us=68
cmdstat_bench_key_0:calls=1508,total_time_us=79243,avg_time_us=52.55,min_time_us=1,max_time_us=40903
cmdstat_bench_key_1:calls=1506,total_time_us=88666,avg_time_us=58.88,min_time_us=0,max_time_us=29425
cmdstat_bench_key_10:calls=1506,total_time_us=41829,avg_time_us=27.77,min_time_us=1,max_time_us=12223
cmdstat_bench_key_100:calls=1520,total_time_us=90059,avg_time_us=59.25,min_time_us=1,max_time_us=37464
cmdstat_bench_key_1000:calls=1485,total_time_us=120695,avg_time_us=81.28,min_time_us=1,max_time_us=41261
cmdstat_bench_key_1001:calls=1513,total_time_us=78794,avg_time_us=52.08,min_time_us=1,max_time_us=17038
cmdstat_bench_key_1002:calls=1497,total_time_us=82533,avg_time_us=55.13,min_time_us=1,max_time_us=29155
cmdstat_bench_key_1003:calls=1537,total_time_us=37256,avg_time_us=24.24,min_time_us=1,max_time_us=6683
cmdstat_bench_key_1004:calls=1465,total_time_us=197728,avg_time_us=134.97,min_time_us=0,max_time_us=59717
cmdstat_bench_key_1005:calls=1626,total_time_us=109635,avg_time_us=67.43,min_time_us=1,max_time_us=42768
cmdstat_bench_key_1006:calls=1443,total_time_us=97604,avg_time_us=67.64,min_time_us=1,max_time_us=66228
cmdstat_bench_key_1007:calls=1428,total_time_us=184649,avg_time_us=129.31,min_time_us=1,max_time_us=122312
cmdstat_bench_key_1008:calls=1497,total_time_us=152221,avg_time_us=101.68,min_time_us=1,max_time_us=77344
cmdstat_bench_key_1009:calls=1463,total_time_us=116807,avg_time_us=79.84,min_time_us=1,max_time_us=41034
cmdstat_bench_key_101:calls=1454,total_time_us=81452,avg_time_us=56.02,min_time_us=0,max_time_us=42375
cmdstat_bench_key_1010:calls=1495,total_time_us=34330,avg_time_us=22.96,min_time_us=1,max_time_us=4756
cmdstat_bench_key_1011:calls=1533,total_time_us=53473,avg_time_us=34.88,min_time_us=1,max_time_us=10892
cmdstat_bench_key_1012:calls=1488,total_time_us=81476,avg_time_us=54.76,min_time_us=1,max_time_us=18729
cmdstat_bench_key_1013:calls=1533,total_time_us=38799,avg_time_us=25.31,min_time_us=1,max_time_us=10964
cmdstat_bench_key_1014:calls=1492,total_time_us=167463,avg_time_us=112.24,min_time_us=1,max_time_us=117318
cmdstat_bench_key_1015:calls=1504,total_time_us=136038,avg_time_us=90.45,min_time_us=1,max_time_us=58355
cmdstat_bench_key_1016:calls=1491,total_time_us=194199,avg_time_us=130.25,min_time_us=1,max_time_us=129862
cmdstat_bench_key_1017:calls=1566,total_time_us=104359,avg_time_us=66.64,min_time_us=1,max_time_us=14916
cmdstat_bench_key_1018:calls=1472,total_time_us=229990,avg_time_us=156.24,min_time_us=1,max_time_us=98157
cmdstat_bench_key_1019:calls=1424,total_time_us=141581,avg_time_us=99.42,min_time_us=1,max_time_us=91866
cmdstat_bench_key_102:calls=1482,total_time_us=130879,avg_time_us=88.31,min_time_us=1,max_time_us=48555
cmdstat_bench_key_1020:calls=1536,total_time_us=32755,avg_time_us=21.32,min_time_us=1,max_time_us=5024
cmdstat_bench_key_1021:calls=1509,total_time_us=122147,avg_time_us=80.95,min_time_us=1,max_time_us=68826
cmdstat_bench_key_1022:calls=1523,total_time_us=162400,avg_time_us=106.63,min_time_us=1,max_time_us=60217
cmdstat_bench_key_1023:calls=1496,total_time_us=111770,avg_time_us=74.71,min_time_us=1,max_time_us=64600
cmdstat_bench_key_1024:calls=1497,total_time_us=39323,avg_time_us=26.27,min_time_us=1,max_time_us=13954
cmdstat_bench_key_1025:calls=1547,total_time_us=68301,avg_time_us=44.15,min_time_us=1,max_time_us=25056
cmdstat_bench_key_1026:calls=1511,total_time_us=138871,avg_time_us=91.91,min_time_us=1,max_time_us=104260
cmdstat_bench_key_1027:calls=1524,total_time_us=62631,avg_time_us=41.10,min_time_us=1,max_time_us=23599
cmdstat_bench_key_1028:calls=1554,total_time_us=156197,avg_time_us=100.51,min_time_us=1,max_time_us=111120
cmdstat_bench_key_1029:calls=1491,total_time_us=48140,avg_time_us=32.29,min_time_us=1,max_time_us=7676
cmdstat_bench_key_103:calls=1486,total_time_us=106382,avg_time_us=71.59,min_time_us=1,max_time_us=50692
cmdstat_bench_key_1030:calls=1550,total_time_us=189593,avg_time_us=122.32,min_time_us=0,max_time_us=63952
cmdstat_bench_key_1031:calls=1451,total_time_us=57218,avg_time_us=39.43,min_time_us=1,max_time_us=26668
cmdstat_bench_key_1032:calls=1533,total_time_us=167234,avg_time_us=109.09,min_time_us=1,max_time_us=63700
cmdstat_bench_key_1033:calls=1506,total_time_us=84253,avg_time_us=55.94,min_time_us=1,max_time_us=36950
cmdstat_bench_key_1034:calls=1527,total_time_us=58359,avg_time_us=38.22,min_time_us=1,max_time_us=10722
cmdstat_bench_key_1035:calls=1478,total_time_us=151508,avg_time_us=102.51,min_time_us=1,max_time_us=59578
cmdstat_bench_key_1036:calls=1530,total_time_us=43381,avg_time_us=28.35,min_time_us=1,max_time_us=23599
cmdstat_bench_key_1037:calls=1504,total_time_us=54505,avg_time_us=36.24,min_time_us=1,max_time_us=13329
cmdstat_bench_key_1038:calls=1527,total_time_us=106599,avg_time_us=69.81,min_time_us=1,max_time_us=57722
cmdstat_bench_key_1039:calls=1482,total_time_us=71239,avg_time_us=48.07,min_time_us=1,max_time_us=32974
cmdstat_bench_key_104:calls=1534,total_time_us=35230,avg_time_us=22.97,min_time_us=1,max_time_us=12756
cmdstat_bench_key_1040:calls=1519,total_time_us=61145,avg_time_us=40.25,min_time_us=1,max_time_us=20194
cmdstat_bench_key_1041:calls=1489,total_time_us=70106,avg_time_us=47.08,min_time_us=1,max_time_us=18189
cmdstat_bench_key_1042:calls=1540,total_time_us=202554,avg_time_us=131.53,min_time_us=1,max_time_us=112096
cmdstat_bench_key_1043:calls=1473,total_time_us=121482,avg_time_us=82.47,min_time_us=1,max_time_us=51006
cmdstat_bench_key_1044:calls=1479,total_time_us=159461,avg_time_us=107.82,min_time_us=1,max_time_us=70453
cmdstat_bench_key_1045:calls=1490,total_time_us=78117,avg_time_us=52.43,min_time_us=1,max_time_us=27526
cmdstat_bench_key_1046:calls=1478,total_time_us=121536,avg_time_us=82.23,min_time_us=1,max_time_us=58178
cmdstat_bench_key_1047:calls=1492,total_time_us=247770,avg_time_us=166.07,min_time_us=1,max_time_us=110602
cmdstat_bench_key_1048:calls=1490,total_time_us=127817,avg_time_us=85.78,min_time_us=1,max_time_us=83862
cmdstat_bench_key_1049:calls=1457,total_time_us=77329,avg_time_us=53.07,min_time_us=1,max_time_us=30600
cmdstat_bench_key_105:calls=1482,total_time_us=91318,avg_time_us=61.62,min_time_us=1,max_time_us=32541
cmdstat_bench_key_1050:calls=1525,total_time_us=302687,avg_time_us=198.48,min_time_us=1,max_time_us=131401
cmdstat_bench_key_1051:calls=1456,total_time_us=197923,avg_time_us=135.94,min_time_us=1,max_time_us=82110
cmdstat_bench_key_1052:calls=1502,total_time_us=99318,avg_time_us=66.12,min_time_us=0,max_time_us=35899
cmdstat_bench_key_1053:calls=1489,total_time_us=107264,avg_time_us=72.04,min_time_us=1,max_time_us=16402
cmdstat_bench_key_1054:calls=1482,total_time_us=131337,avg_time_us=88.62,min_time_us=1,max_time_us=78384
cmdstat_bench_key_1055:calls=1450,total_time_us=75838,avg_time_us=52.30,min_time_us=1,max_time_us=25920
cmdstat_bench_key_1056:calls=1442,total_time_us=58812,avg_time_us=40.79,min_time_us=1,max_time_us=16210
cmdstat_bench_key_1057:calls=1555,total_time_us=388983,avg_time_us=250.15,min_time_us=1,max_time_us=321246
cmdstat_bench_key_1058:calls=1479,total_time_us=129846,avg_time_us=87.79,min_time_us=1,max_time_us=96789
cmdstat_bench_key_1059:calls=1498,total_time_us=203805,avg_time_us=136.05,min_time_us=1,max_time_us=81650
