elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000012,0.0000,8501805,
0.284172,45.1000,8523756,77248.760631
0.513040,85.7000,8554520,134418.088026
0.733993,132.2000,8569213,66498.237025
0.963610,82.3000,8582363,57269.308668
1.212023,64.9000,8595736,53833.769604
1.487670,61.6000,8611575,57461.188807
1.721814,61.4000,8623942,52817.876457
1.944037,49.5000,8640558,74771.723682
2.195843,57.7000,8653980,53302.985644
2.430049,58.1000,8667116,56087.385356
2.688377,55.6000,8680897,53346.866632
2.913892,58.4000,8696802,70527.494159
3.154255,49.8000,8711805,62418.061205
3.439757,65.5000,8733178,74861.133104
3.728340,58.0000,8746122,44853.640704
3.960730,58.5000,8764671,79818.433813
4.212111,55.7000,8776196,45846.713627
4.430141,60.8000,8790892,67403.575770
4.665508,50.6000,8803071,51744.761361
4.911268,65.1000,8823806,84370.861502
5.157176,63.3000,8839368,63283.885439
5.440389,65.5000,8858303,66857.773954
5.699523,56.5000,8869728,44089.149286
5.960359,52.0000,8883919,54405.857329
6.184919,75.8000,8905631,96686.844668
6.427278,151.3000,8936339,126704.639652
6.673733,91.3000,8954214,72528.396801
6.931591,68.7000,8968464,55262.966062
7.182895,61.1000,8984137,62366.717353
7.435124,61.5000,8997126,51496.859093
