elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000012,0.0000,14003923,
0.263128,48.1000,14026113,84335.540161
0.519172,55.3000,14044091,70214.453414
0.773835,51.1000,14056712,49559.569515
1.032721,80.0000,14085311,110469.532600
1.251643,145.6000,14107317,100519.865854
1.530377,87.9000,14122290,53717.887590
1.758668,66.5000,14131653,41013.394302
1.989641,51.2000,14146048,62323.364762
2.246136,67.1000,14165060,74122.302888
2.490727,51.8000,14172010,28414.782496
2.726024,53.5000,14184873,54667.088542
2.969311,56.3000,14199574,60426.552894
3.230180,56.8000,14216176,63641.131501
3.452793,48.8000,14224964,39476.605647
3.697121,52.7000,14240929,65342.420776
3.927021,51.7000,14259848,82292.342784
4.293514,58.9000,14277364,47793.547589
4.534722,61.1000,14294966,72974.339239
4.812844,62.0000,14311620,59880.207604
5.049088,62.4000,14324782,55713.592929
5.285068,60.8000,14340102,64920.746677
5.537044,56.0000,14350727,42166.712084
5.795777,46.4000,14363262,48447.621085
6.021172,66.7000,14378174,66159.419540
6.244280,55.1000,14388535,46439.431132
6.469446,55.1000,14401250,56469.428546
6.718321,134.8000,14432343,124934.252749
6.945657,112.5000,14449328,74713.144538
7.196013,92.3000,14462073,50907.467578
7.459090,49.6000,14470683,32728.087698
7.690920,54.9000,14485984,66000.914783
7.911221,61.4000,14500310,65029.235759
