elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000011,0.0000,7000891,
0.241348,30.3000,7023007,91639.559061
0.461953,45.6000,7031480,38407.990827
0.698634,57.4000,7049375,75608.101927
0.933307,46.4000,7061056,49775.690904
1.166055,60.7000,7077226,69474.271760
1.397914,62.8000,7093208,68929.833024
1.654013,63.1000,7112948,77079.499440
1.882616,57.9000,7124141,48962.636413
2.107414,56.2000,7140252,71668.722524
2.357272,60.4000,7152873,50512.759114
2.613603,55.8000,7173966,82288.145873
2.853960,63.5000,7187430,56016.637774
3.101420,54.3000,7200797,54016.783102
3.375263,51.7000,7215327,53059.590155
3.619474,55.3000,7226946,47577.717529
3.846354,59.9000,7243079,71108.126427
4.071236,58.5000,7259280,72042.262651
4.318952,60.6000,7276286,68651.145118
4.563265,46.8000,7287514,45957.439534
4.795265,60.2000,7303594,69310.311208
5.034244,57.4000,7317466,58046.974697
5.319167,64.5000,7337348,69780.237653
5.546343,56.1000,7347629,45255.670570
5.787773,69.8000,7366916,79886.494931
6.009069,124.7000,7390183,105139.801427
6.251147,94.5000,7402660,51541.173987
6.501706,56.3000,7410159,29929.096121
6.738134,53.7000,7430099,84338.564434
6.988390,56.3000,7442101,47958.923991
7.249056,61.8000,7463138,80704.769126
7.509386,60.7000,7479252,61898.368862
7.758561,60.5000,7491046,47332.182625
7.980823,53.2000,7500571,42854.801204
