strategy,strategy_label,concurrency,n,mean,stddev,median,CV,CI_low,CI_high,p99_mean,p99_stddev,p99_median,p99_CV,p99_CI_low,p99_CI_high,excluded_runs
sharded_2key,Sharded-2key,500,30,217089.13272324894,1724.5370549098132,217617.81006234285,0.007943912407206027,216472.01506371357,217706.25038278432,5343.466666666666,331.58404908740016,5296.0,0.062054106401724256,5224.810838582541,5462.122494750792,
sharded_2key,Sharded-2key,600,30,215866.77330174705,5392.7776871441465,217277.53155070284,0.0249819720036576,213936.99259033226,217796.55401316183,6504.066666666667,698.1858725609378,6363.0,0.10734605106973143,6254.224060867738,6753.909272465595,
sharded_2key,Sharded-2key,700,30,211264.86652271252,8329.640869392699,214523.23315899103,0.03942747796400497,208284.1428186581,214245.59022676694,8419.666666666666,1135.5175740249642,8152.0,0.1348649084316439,8013.326921371816,8826.006411961516,
sharded_2key,Sharded-2key,1000,30,212855.55531101057,1242.0448745661681,213175.0024276595,0.005835153669122583,212411.0952607913,213300.01536122983,9747.966666666667,1206.7990857360364,9689.0,0.12380008334073461,9316.119159998965,10179.81417333437,
thread_local,ThreadLocal,100,30,99114.45328586287,61973.04082502233,67521.24842559337,0.6252674435511599,76937.68544005472,121291.22113167102,8598.366666666667,6895.272455837397,7635.0,0.80192817114538,6130.925107385292,11065.808225948042,
thread_local,ThreadLocal,200,30,63617.35040128323,12886.068270108568,62385.792927374816,0.20255587805569222,59006.130092144405,68228.57071042205,24835.9,7372.51120063227,23846.5,0.2968489646291163,22197.680749170086,27474.119250829917,
thread_local,ThreadLocal,300,30,74870.6273771655,29230.829532080537,62852.44349270334,0.3904178521815824,64410.50936708382,85330.74538724718,35986.63333333333,13557.791833947138,37341.0,0.37674521282292234,31135.039833957373,40838.22683270929,
thread_local,ThreadLocal,400,30,54976.90151396815,14173.848771511954,51554.488011793925,0.25781461634229713,49904.85487073648,60048.94815719982,65631.4,13581.230127109888,64857.0,0.20693189734044815,60771.41921513259,70491.38078486739,
thread_local,ThreadLocal,500,30,64591.24867710545,11706.46119308962,61358.8249044425,0.18123912190660296,60402.14533928295,68780.35201492795,65026.333333333336,14513.587734242014,63753.0,0.22319554233272695,59832.71266364857,70219.95400301811,
thread_local,ThreadLocal,600,30,66914.88400051298,10122.21136549529,62081.10501252746,0.1512699531156281,63292.69718265791,70537.07081836804,77875.23333333334,8345.847560038603,78878.0,0.10716947099619523,74888.71013951338,80861.7565271533,
thread_local,ThreadLocal,700,30,63051.890894499884,9721.697905269099,59789.88036775993,0.15418566782613552,59573.0259777217,66530.75581127807,99444.9,13325.094705880692,98192.0,0.13399475192675234,94676.57609848169,104213.2239015183,
thread_local,ThreadLocal,1000,30,69617.58820868173,4393.685473385174,70174.251289779,0.06311171625502039,68045.32805436925,71189.8483629942,131062.2,9808.773843016683,130605.0,0.07484060120322017,127552.17535907924,134572.22464092076,
hdr_histogram,HdrHistogram,100,30,189230.06568367983,10998.708500856721,191198.56691493426,0.05812347240444522,185294.22839410903,193165.90297325063,1228.7,313.6202568668698,1149.0,0.2552455903531129,1116.4724324046547,1340.9275675953454,
hdr_histogram,HdrHistogram,200,30,182538.82918143543,12743.270699440782,187061.8293824653,0.06981128758514464,177978.70832669624,187098.95003617462,2965.266666666667,680.8530619406973,2659.5,0.22960938710651002,2721.6265274906973,3208.9068058426365,
hdr_histogram,HdrHistogram,300,30,165883.0542201382,14177.349194720811,167086.6631726774,0.08546592815868036,160809.75496654835,170956.35347372806,6220.266666666666,1328.1893283542158,5836.0,0.2135261074049691,5744.98021955887,6695.553113774463,
hdr_histogram,HdrHistogram,400,30,207763.37317119035,15465.200179068182,215537.83026137404,0.07443660517739743,202229.2223615101,213297.5239808706,5079.533333333334,1943.4702650836641,4390.0,0.382608034547202,4384.071430702447,5774.99523596422,
hdr_histogram,HdrHistogram,500,30,90025.0967649829,51988.67004324002,72523.30689924078,0.5774908543443196,71421.19011763082,108629.00341233498,55976.566666666666,24827.099820466392,63891.0,0.4435266630107669,47092.30309538676,64860.830237946575,
hdr_histogram,HdrHistogram,600,30,65303.81986102487,13615.044937978564,59528.777556999514,0.2084877265518797,60431.73860149298,70175.90112055677,84881.1,15281.185209382427,86578.0,0.1800304803941328,79412.79810153253,90349.40189846748,
hdr_histogram,HdrHistogram,700,30,69021.76297678208,10979.165156727997,63938.46929547102,0.1590681646370179,65092.91918309116,72950.606770473,92856.83333333333,12240.920049608998,94098.5,0.1318257322610506,88476.47634995177,97237.19031671488,
hdr_histogram,HdrHistogram,1000,30,63871.61149183338,7542.884662070155,61592.351606688106,0.11809447868768096,61172.424880824015,66570.79810284275,144628.86666666667,13304.68998649655,144800.0,0.0919919397360731,139867.84450020472,149389.8888331286,
sharded_n,Sharded-N,100,30,69583.40061224528,48590.02780350099,52203.38211377822,0.6982991255956255,52195.682471028565,86971.11875346201,13629.733333333334,7109.046582049321,14528.5,0.5215836882635992,11085.793685442302,16173.672981224365,
sharded_n,Sharded-N,200,30,63578.3822431078,25771.354874906297,57809.33755727848,0.4053477607587292,54356.221340169286,72800.54314604632,24708.4,6967.842641439463,24823.5,0.2820029885156247,22214.989533316322,27201.81046668368,
sharded_n,Sharded-N,300,30,70922.49295431242,27554.92961167823,60317.4257061401,0.38852172933950374,61062.08802870737,80782.89787991747,35060.5,9702.217097315865,38232.0,0.27672785891005164,31588.6062008187,38532.3937991813,
sharded_n,Sharded-N,400,30,66130.07373698337,13906.396082019104,59854.64848013005,0.21028853131675743,61153.73380953746,71106.41366442927,50146.76666666667,6965.933289865083,52703.0,0.13891091595533409,47654.039452668956,52639.493880664384,
sharded_n,Sharded-N,500,30,63730.750351097435,11448.043967999693,59024.35758063225,0.17963140093175695,59634.120429648974,67827.3802725459,67388.43333333333,9078.160085054958,66552.5,0.1347139210100095,64139.85546797129,70637.01119869537,
sharded_n,Sharded-N,600,30,73065.27472869008,16688.513076343526,61905.64431144691,0.228405533795804,67093.36702077634,79037.18243660383,73813.16666666667,11917.676981125003,78684.5,0.16145733233400097,69548.48072979347,78077.85260353987,
sharded_n,Sharded-N,700,30,63874.01977415398,12746.142889228391,59554.02926821669,0.19955128758603663,59312.8711194992,68435.16842880876,103510.83333333333,15812.268822534354,102990.5,0.1527595548536886,97852.48560463401,109169.18106203264,
sharded_n,Sharded-N,1000,30,62049.62108186632,10387.44389062058,59926.32148363457,0.16740543631871196,58332.52202384107,65766.72013989156,143232.06666666668,19625.939915876876,142086.5,0.1370219698187478,136209.01426394438,150255.11906938898,
