elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000007,0.0000,10502254,
0.242075,33.1000,10519818,72558.108489
0.474533,61.7000,10541887,94937.630681
0.721552,63.6000,10557078,61497.280659
1.021492,61.6000,10570608,45109.005373
1.250956,57.0000,10584412,60157.570447
1.486072,54.7000,10596993,53509.755761
1.725968,59.0000,10617053,83619.631006
1.977594,50.8000,10623961,27453.441203
2.222345,52.9000,10646701,92910.763092
2.488166,60.1000,10662948,61120.081626
2.719363,52.5000,10670879,34304.060719
2.955592,49.3000,10684001,55547.808158
3.188360,47.4000,10694286,44185.615733
3.433158,53.7000,10710842,67631.286686
3.688239,51.4000,10728896,70777.534839
3.938007,62.5000,10745323,65768.965953
4.173115,102.8000,10767627,94867.080699
4.395198,151.9000,10795699,126403.275087
4.708710,74.0000,10805677,31826.524137
4.945722,63.5000,10818600,54524.686241
5.188374,55.9000,10829311,44141.371805
5.421761,59.2000,10851196,93771.292395
5.672683,54.0000,10862944,46819.336907
5.897866,57.7000,10878381,68553.129266
6.152991,65.6000,10893686,59990.190118
6.389037,48.3000,10906653,54934.190094
6.631255,54.1000,10920240,56094.092982
6.879977,58.6000,10936068,63637.355398
7.108287,60.1000,10953410,75958.091115
7.352581,56.2000,10968845,63182.147755
7.580503,69.7000,10982881,61582.416846
7.814633,63.4000,10994988,51710.608962
