elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000056,0.0000,3000865,
0.251128,21.0000,3019208,73058.675203
0.514678,42.8000,3032870,51838.352364
0.770959,36.8000,3041195,32483.887917
1.112004,34.3000,3052598,33435.479922
1.478651,32.7000,3064803,33288.126984
1.743228,40.2000,3077265,47101.615592
2.051935,37.4000,3083997,21807.085766
2.358103,43.0000,3101602,57501.095594
2.693214,49.6000,3117895,48619.725185
2.991839,45.6000,3126696,29471.746253
3.323558,36.2000,3136996,31050.384309
3.566731,42.8000,3146089,37393.112816
3.814841,34.8000,3159377,53556.929482
4.056037,70.5000,3173682,59308.573835
4.299788,76.3000,3191864,74592.499485
4.572323,52.8000,3198194,23226.387611
4.843782,22.5000,3202882,17269.636400
5.200579,22.5000,3213910,30908.333369
5.484763,51.8000,3231511,61935.229635
5.742642,54.8000,3246218,57030.618735
6.037465,37.9000,3252750,22155.671445
6.291660,46.2000,3264040,44414.683710
6.571415,51.3000,3279204,54204.549477
6.879329,38.8000,3288358,29729.078399
7.161545,44.4000,3302592,50436.574785
7.410622,50.4000,3316788,56994.404721
7.682325,43.7000,3324821,29565.370485
8.044877,27.2000,3331808,19271.734787
8.319102,39.7000,3342218,37961.495413
8.558236,35.1000,3349992,32508.992319
8.787597,44.4000,3364552,63480.697955
9.009166,153.1000,3397402,148260.771654
9.382315,132.3000,3423095,68854.503749
9.617566,152.9000,3454566,133776.293013
9.842079,166.8000,3473973,86440.408089
