elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000013,0.0000,13512583,
0.365080,55.2000,13534761,60750.491517
0.604636,69.5000,13552130,72504.945083
0.843954,52.1000,13557689,23228.517966
1.107901,46.7000,13573047,58185.921476
1.345363,60.3000,13589165,67876.110829
1.653879,46.2000,13607443,59244.896494
1.937094,65.1000,13626105,65893.391853
2.192938,67.8000,13645332,75151.299949
2.424394,60.0000,13659753,62305.631651
2.670108,51.0000,13669175,38345.364145
2.893176,54.4000,13686637,78281.062668
3.146759,49.4000,13700120,53169.927588
3.406215,57.0000,13719911,76278.853287
3.649233,71.3000,13737446,72155.175156
3.901990,58.1000,13756378,74901.959485
4.169646,54.1000,13770168,51521.384748
4.434371,58.4000,13788008,67390.696122
4.670774,56.8000,13798460,44212.639059
4.925880,47.5000,13808537,39501.194314
5.150644,55.4000,13828374,88257.067201
5.466692,54.8000,13839531,35301.583528
5.708194,55.9000,13851519,49639.379891
5.954510,65.8000,13873312,88475.709205
6.194398,67.1000,13887018,57135.007572
6.463520,54.5000,13904387,64539.530037
6.712832,62.5000,13918492,56575.713567
6.937212,57.2000,13929164,47562.117318
7.163270,56.5000,13946398,76237.069782
7.384678,134.6000,13975851,133025.972821
7.624372,110.3000,13988270,51811.919419
7.854457,73.8000,14000163,51689.562759
