elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000012,0.0000,5003761,
0.294559,31.9000,5017103,45296.663457
0.554760,41.7000,5027637,40484.090830
0.805793,34.5000,5034093,25717.727386
1.137737,34.2000,5049736,47125.454183
1.395983,24.7000,5055708,23125.242104
1.684646,32.4000,5068460,44176.057974
1.938214,33.0000,5079638,44082.861039
2.233350,43.0000,5090665,37362.439480
2.517288,47.7000,5103771,46157.936511
2.799259,30.3000,5111689,28080.927893
3.085802,32.1000,5119517,27318.749454
3.347090,34.3000,5132402,49313.414963
3.642618,46.7000,5148541,54610.742631
3.896687,57.4000,5156502,31333.996605
4.123569,50.4000,5169631,57867.089965
4.352280,53.9000,5183822,62047.702311
4.632909,50.4000,5192473,30827.160161
4.886178,51.7000,5204568,47755.556530
5.138690,51.0000,5221562,67299.777716
5.399826,50.6000,5229939,32079.092443
5.665083,60.9000,5250498,77505.930811
5.903281,61.1000,5267196,70101.402090
6.133570,57.3000,5281389,61631.195547
6.380436,55.1000,5299254,72367.198741
6.600017,88.1000,5320802,98132.401790
6.845746,78.4000,5332633,48146.541372
7.068446,56.8000,5341774,41046.228625
7.293483,58.4000,5355966,63065.157392
7.536178,33.6000,5360009,16658.779208
7.892445,28.1000,5378564,52081.728819
8.166699,43.7000,5393221,53443.142234
8.433136,50.8000,5403984,40396.069100
8.663128,43.4000,5413120,39723.094679
8.908320,47.9000,5433766,84203.382293
9.174867,58.1000,5449176,57813.451451
9.462960,31.4000,5462488,46207.324910
9.806295,66.6000,5481599,55662.811998
10.073215,66.5000,5496255,54907.819098
