# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=37593,avg_time_us=1253.10,min_time_us=11,max_time_us=2323
cmdstat_ping:calls=31,total_time_us=3076,avg_time_us=99.23,min_time_us=6,max_time_us=2488
cmdstat_bench_key_0:calls=1744,total_time_us=178849,avg_time_us=102.55,min_time_us=1,max_time_us=132030
cmdstat_bench_key_1:calls=1808,total_time_us=113549,avg_time_us=62.80,min_time_us=1,max_time_us=36801
cmdstat_bench_key_10:calls=1826,total_time_us=229039,avg_time_us=125.43,min_time_us=1,max_time_us=58436
cmdstat_bench_key_100:calls=1798,total_time_us=263683,avg_time_us=146.65,min_time_us=1,max_time_us=124197
cmdstat_bench_key_1000:calls=1860,total_time_us=237933,avg_time_us=127.92,min_time_us=1,max_time_us=123861
cmdstat_bench_key_1001:calls=1800,total_time_us=40545,avg_time_us=22.52,min_time_us=1,max_time_us=11133
cmdstat_bench_key_1002:calls=1811,total_time_us=164488,avg_time_us=90.83,min_time_us=0,max_time_us=60353
cmdstat_bench_key_1003:calls=1812,total_time_us=142285,avg_time_us=78.52,min_time_us=1,max_time_us=35813
cmdstat_bench_key_1004:calls=1789,total_time_us=206449,avg_time_us=115.40,min_time_us=1,max_time_us=44746
cmdstat_bench_key_1005:calls=1808,total_time_us=125244,avg_time_us=69.27,min_time_us=1,max_time_us=32192
cmdstat_bench_key_1006:calls=1862,total_time_us=95097,avg_time_us=51.07,min_time_us=1,max_time_us=42304
cmdstat_bench_key_1007:calls=1811,total_time_us=100023,avg_time_us=55.23,min_time_us=1,max_time_us=39709
cmdstat_bench_key_1008:calls=1787,total_time_us=70304,avg_time_us=39.34,min_time_us=1,max_time_us=14454
cmdstat_bench_key_1009:calls=1828,total_time_us=173344,avg_time_us=94.83,min_time_us=1,max_time_us=63893
cmdstat_bench_key_101:calls=1815,total_time_us=40106,avg_time_us=22.10,min_time_us=1,max_time_us=5092
cmdstat_bench_key_1010:calls=1836,total_time_us=66105,avg_time_us=36.00,min_time_us=1,max_time_us=23269
cmdstat_bench_key_1011:calls=1849,total_time_us=132991,avg_time_us=71.93,min_time_us=1,max_time_us=52064
cmdstat_bench_key_1012:calls=1786,total_time_us=92207,avg_time_us=51.63,min_time_us=1,max_time_us=18746
cmdstat_bench_key_1013:calls=1825,total_time_us=129696,avg_time_us=71.07,min_time_us=1,max_time_us=46806
cmdstat_bench_key_1014:calls=1762,total_time_us=61119,avg_time_us=34.69,min_time_us=1,max_time_us=16675
cmdstat_bench_key_1015:calls=1816,total_time_us=75536,avg_time_us=41.59,min_time_us=1,max_time_us=17093
cmdstat_bench_key_1016:calls=1885,total_time_us=494783,avg_time_us=262.48,min_time_us=1,max_time_us=298287
cmdstat_bench_key_1017:calls=1786,total_time_us=111882,avg_time_us=62.64,min_time_us=1,max_time_us=19959
cmdstat_bench_key_1018:calls=1838,total_time_us=56403,avg_time_us=30.69,min_time_us=1,max_time_us=7394
cmdstat_bench_key_1019:calls=1787,total_time_us=102425,avg_time_us=57.32,min_time_us=1,max_time_us=64293
cmdstat_bench_key_102:calls=1745,total_time_us=54208,avg_time_us=31.06,min_time_us=1,max_time_us=9390
cmdstat_bench_key_1020:calls=1769,total_time_us=46677,avg_time_us=26.39,min_time_us=1,max_time_us=7810
cmdstat_bench_key_1021:calls=1737,total_time_us=89769,avg_time_us=51.68,min_time_us=1,max_time_us=14868
cmdstat_bench_key_1022:calls=1824,total_time_us=74811,avg_time_us=41.01,min_time_us=1,max_time_us=24460
cmdstat_bench_key_1023:calls=1806,total_time_us=104817,avg_time_us=58.04,min_time_us=1,max_time_us=40901
cmdstat_bench_key_1024:calls=1892,total_time_us=72067,avg_time_us=38.09,min_time_us=1,max_time_us=13019
cmdstat_bench_key_1025:calls=1775,total_time_us=59851,avg_time_us=33.72,min_time_us=1,max_time_us=11353
cmdstat_bench_key_1026:calls=1834,total_time_us=114608,avg_time_us=62.49,min_time_us=0,max_time_us=30274
cmdstat_bench_key_1027:calls=1794,total_time_us=215064,avg_time_us=119.88,min_time_us=0,max_time_us=48476
cmdstat_bench_key_1028:calls=1796,total_time_us=73613,avg_time_us=40.99,min_time_us=1,max_time_us=21913
cmdstat_bench_key_1029:calls=1870,total_time_us=55931,avg_time_us=29.91,min_time_us=1,max_time_us=9450
cmdstat_bench_key_103:calls=1773,total_time_us=97878,avg_time_us=55.20,min_time_us=1,max_time_us=38474
