elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000010,0.0000,6503338,
0.266693,34.0000,6519449,60412.580713
0.516486,33.1000,6527135,30769.470639
0.826011,36.6000,6546498,62557.141390
1.197444,40.4000,6558317,31819.983116
1.431363,54.6000,6575601,73888.854691
1.680831,55.4000,6588668,52379.495049
1.928480,37.7000,6602938,57621.831261
2.230234,56.2000,6616816,45991.105672
2.465560,50.9000,6625304,36069.104709
2.765498,40.0000,6638809,45025.977516
3.135462,56.9000,6654950,43628.611020
3.372596,52.7000,6665478,44396.798063
3.655572,43.4000,6675566,35649.677477
3.897612,53.4000,6690572,61997.976560
4.149375,109.0000,6716407,102616.403724
4.375481,109.4000,6733688,76428.698260
4.608551,81.0000,6741037,31531.313585
4.841808,61.3000,6753172,52024.203036
5.096851,47.5000,6765196,47144.985731
5.376573,56.2000,6781142,57006.604438
5.617438,57.1000,6794451,55254.965480
5.857688,50.5000,6802020,31504.668116
6.084150,53.3000,6817297,67459.474873
6.311801,70.3000,6837161,87256.324796
6.592491,56.4000,6847930,38366.175267
6.836447,53.6000,6865286,71144.020351
7.066964,48.7000,6872180,29906.699615
7.311256,47.5000,6888632,67345.564091
7.537651,46.8000,6902117,59564.064792
7.789390,49.5000,6917195,59895.361846
8.042606,163.4000,6958955,164918.470188
8.264019,256.0000,7000440,187364.875947
