elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000015,0.0000,12001341,
0.254603,33.9000,12021543,79351.697297
0.481192,51.3000,12039368,78666.673120
0.763562,50.6000,12050827,40581.493530
0.986187,51.8000,12062112,50690.619337
1.208937,56.0000,12080304,81670.052552
1.457269,63.0000,12096768,66298.336235
1.686716,54.5000,12107544,46965.117267
1.902569,91.4000,12134147,123245.926519
2.136187,123.5000,12155582,91752.339598
2.368037,84.9000,12167053,49475.973736
2.659471,59.4000,12186853,67939.899359
2.886275,61.6000,12200602,60620.555433
3.132245,52.7000,12211659,44952.634534
3.361769,51.7000,12225562,60573.213384
3.610467,54.2000,12238585,52364.766451
3.844224,57.1000,12253992,65910.253086
4.072331,61.4000,12268626,64154.109993
4.294380,54.3000,12279946,50979.739193
4.518150,54.6000,12299949,89390.931110
4.736342,212.7000,12344377,203618.737310
4.953596,255.1000,12380528,166399.756707
5.174800,299.5000,12423460,194083.252401
5.397122,312.2000,12466520,193683.047510
