elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000013,1.3000,6004133,
0.287016,37.0000,6024975,72619.379444
0.545261,46.7000,6036227,43571.069206
0.793959,38.8000,6047098,43711.609048
1.041334,48.5000,6061699,59023.803525
1.289369,54.9000,6073811,48831.827132
1.526945,47.6000,6081757,33446.138237
1.754450,35.2000,6089360,33419.015319
2.023923,35.0000,6104808,57326.691916
2.337929,56.9000,6122347,55855.646965
2.585803,53.2000,6134480,48948.298798
2.824815,57.0000,6150190,65728.851001
3.117995,48.0000,6161749,39426.324576
3.346151,57.6000,6176646,65292.951186
3.612469,45.9000,6184800,30617.550313
3.892727,100.7000,6209668,88732.543935
4.131213,116.7000,6229617,83648.497971
4.446095,59.9000,6236174,20823.670983
4.705605,40.9000,6249816,52568.293639
4.982733,43.1000,6260168,37354.582369
5.219845,34.0000,6265587,22854.174251
5.473999,29.9000,6273380,30662.515698
5.726554,38.8000,6290412,67438.804152
6.003276,48.1000,6297785,26644.073172
6.241440,43.2000,6308664,45678.617980
6.519779,29.6000,6320272,41704.518036
6.758124,40.5000,6329738,39715.553770
7.009064,49.6000,6349823,80038.950177
7.247643,60.8000,6363906,59028.715935
7.538726,53.2000,6376556,43458.380478
7.774129,60.0000,6394714,77135.785446
8.029100,48.1000,6406006,44287.426204
8.330537,49.8000,6425503,64680.203151
8.589345,50.1000,6433773,31954.173189
8.841006,47.9000,6443961,40483.020732
9.095603,43.4000,6457538,53327.426245
9.350111,39.1000,6468029,41220.743810
9.647186,34.8000,6477533,31991.891983
9.910500,43.4000,6489414,45121.032710
10.170174,42.4000,6499456,38671.554354
