elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000007,0.0000,9002163,
0.280037,42.3000,9031979,106474.392365
0.542728,61.6000,9050279,69663.528367
0.770199,52.6000,9060706,45838.883499
1.002372,51.6000,9070725,43153.127963
1.236598,56.5000,9083217,53333.053989
1.475682,61.1000,9101033,74517.815359
1.701055,55.2000,9108500,33131.737234
1.929817,61.0000,9131185,99164.235261
2.173606,118.8000,9157819,109250.231276
2.389300,101.5000,9168457,49319.826583
2.619027,76.6000,9185240,73056.270368
2.895941,53.1000,9195504,37065.675262
3.138656,56.9000,9206338,44636.691715
3.365191,49.8000,9218770,54878.974956
3.605881,59.2000,9240331,89579.960263
3.878593,51.8000,9250857,38597.495888
4.124223,48.0000,9261474,43223.543061
4.369551,50.4000,9274351,52488.923602
4.629253,57.5000,9292697,70642.514552
4.871448,51.7000,9305404,52465.960120
5.125155,60.3000,9320577,59805.224384
5.356128,58.2000,9331364,46702.379144
5.605543,53.8000,9347015,62750.856883
5.852374,51.6000,9362202,61528.002341
6.093445,59.8000,9380257,74894.878304
6.319747,50.2000,9396723,72761.206963
6.561624,59.4000,9405607,36729.400059
6.798859,56.0000,9420936,64615.236048
7.028842,52.8000,9432610,50760.253422
7.265761,47.4000,9446445,58395.562323
7.515338,55.8000,9462987,66280.070623
7.748363,51.3000,9474667,50123.361402
7.991485,58.2000,9488549,57098.937390
