elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000006,0.0000,7501238,
0.233161,39.5000,7521750,87975.895468
0.452984,54.9000,7541800,91209.695392
0.714599,55.9000,7557043,58265.052394
0.952670,58.8000,7574275,72381.779162
1.224694,57.0000,7585664,41867.605522
1.492349,39.7000,7596231,39479.942891
1.742044,43.8000,7606034,39259.887226
1.966498,36.8000,7616658,47332.603623
2.215732,42.6000,7630721,56424.948632
2.529997,35.1000,7639667,28466.398900
2.804925,53.0000,7656732,62070.829559
3.043965,54.4000,7669490,53371.843408
3.294071,49.8000,7686623,68502.928380
3.533427,53.7000,7701043,60244.980417
3.781093,61.4000,7714779,55461.764292
4.028355,50.2000,7730949,65396.219120
4.270343,58.0000,7740831,40836.785450
4.536382,53.5000,7756514,58949.974084
4.778853,59.2000,7770773,58806.979695
5.012711,53.3000,7783899,56128.166122
5.249682,58.5000,7802890,80140.560607
5.502640,60.7000,7817466,57622.146144
5.758930,52.8000,7826137,33832.804460
5.980553,70.3000,7846557,92138.474666
6.229529,159.6000,7881757,141378.957791
6.482683,93.4000,7894391,49906.373332
6.717705,63.7000,7907807,57084.059053
6.980635,56.4000,7917901,38390.423524
7.219319,56.8000,7931966,58927.299675
7.452679,54.1000,7944349,53063.977915
7.682313,50.0000,7956146,51373.044098
7.911025,56.1000,7970986,64885.140068
8.154697,53.6000,7984244,54409.176234
8.404951,52.0000,7997080,51291.855837
