# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=42321,avg_time_us=1410.70,min_time_us=10,max_time_us=3314
cmdstat_ping:calls=31,total_time_us=779,avg_time_us=25.13,min_time_us=7,max_time_us=100
cmdstat_bench_key_0:calls=577,total_time_us=88131,avg_time_us=152.74,min_time_us=1,max_time_us=51390
cmdstat_bench_key_1:calls=578,total_time_us=15907,avg_time_us=27.52,min_time_us=1,max_time_us=4799
cmdstat_bench_key_10:calls=594,total_time_us=13634,avg_time_us=22.95,min_time_us=1,max_time_us=3673
cmdstat_bench_key_100:calls=591,total_time_us=55460,avg_time_us=93.84,min_time_us=1,max_time_us=23594
cmdstat_bench_key_1000:calls=593,total_time_us=196690,avg_time_us=331.69,min_time_us=1,max_time_us=100029
cmdstat_bench_key_1001:calls=601,total_time_us=57747,avg_time_us=96.08,min_time_us=1,max_time_us=44005
cmdstat_bench_key_1002:calls=603,total_time_us=87994,avg_time_us=145.93,min_time_us=1,max_time_us=69970
cmdstat_bench_key_1003:calls=591,total_time_us=36019,avg_time_us=60.95,min_time_us=1,max_time_us=23111
cmdstat_bench_key_1004:calls=618,total_time_us=13115,avg_time_us=21.22,min_time_us=1,max_time_us=2678
cmdstat_bench_key_1005:calls=637,total_time_us=47237,avg_time_us=74.16,min_time_us=1,max_time_us=38368
cmdstat_bench_key_1006:calls=602,total_time_us=84544,avg_time_us=140.44,min_time_us=1,max_time_us=73268
cmdstat_bench_key_1007:calls=624,total_time_us=15845,avg_time_us=25.39,min_time_us=1,max_time_us=7815
cmdstat_bench_key_1008:calls=597,total_time_us=11248,avg_time_us=18.84,min_time_us=1,max_time_us=2709
cmdstat_bench_key_1009:calls=614,total_time_us=64245,avg_time_us=104.63,min_time_us=1,max_time_us=55600
cmdstat_bench_key_101:calls=593,total_time_us=12599,avg_time_us=21.25,min_time_us=1,max_time_us=4109
cmdstat_bench_key_1010:calls=619,total_time_us=18669,avg_time_us=30.16,min_time_us=1,max_time_us=4405
cmdstat_bench_key_1011:calls=581,total_time_us=10028,avg_time_us=17.26,min_time_us=1,max_time_us=2726
cmdstat_bench_key_1012:calls=590,total_time_us=8302,avg_time_us=14.07,min_time_us=1,max_time_us=3479
cmdstat_bench_key_1013:calls=588,total_time_us=6183,avg_time_us=10.52,min_time_us=1,max_time_us=941
cmdstat_bench_key_1014:calls=589,total_time_us=130502,avg_time_us=221.57,min_time_us=1,max_time_us=79578
cmdstat_bench_key_1015:calls=570,total_time_us=7902,avg_time_us=13.86,min_time_us=0,max_time_us=2623
cmdstat_bench_key_1016:calls=592,total_time_us=52472,avg_time_us=88.64,min_time_us=1,max_time_us=21326
cmdstat_bench_key_1017:calls=584,total_time_us=23706,avg_time_us=40.59,min_time_us=1,max_time_us=4943
cmdstat_bench_key_1018:calls=664,total_time_us=18228,avg_time_us=27.45,min_time_us=1,max_time_us=5693
cmdstat_bench_key_1019:calls=667,total_time_us=166166,avg_time_us=249.12,min_time_us=1,max_time_us=142445
cmdstat_bench_key_102:calls=624,total_time_us=16818,avg_time_us=26.95,min_time_us=1,max_time_us=8609
cmdstat_bench_key_1020:calls=608,total_time_us=5178,avg_time_us=8.52,min_time_us=0,max_time_us=652
cmdstat_bench_key_1021:calls=615,total_time_us=78682,avg_time_us=127.94,min_time_us=1,max_time_us=50425
cmdstat_bench_key_1022:calls=591,total_time_us=26061,avg_time_us=44.10,min_time_us=1,max_time_us=18123
cmdstat_bench_key_1023:calls=588,total_time_us=19426,avg_time_us=33.04,min_time_us=1,max_time_us=9202
cmdstat_bench_key_1024:calls=588,total_time_us=21112,avg_time_us=35.90,min_time_us=1,max_time_us=11451
cmdstat_bench_key_1025:calls=631,total_time_us=14885,avg_time_us=23.59,min_time_us=1,max_time_us=4527
cmdstat_bench_key_1026:calls=616,total_time_us=11483,avg_time_us=18.64,min_time_us=1,max_time_us=2883
cmdstat_bench_key_1027:calls=578,total_time_us=7588,avg_time_us=13.13,min_time_us=1,max_time_us=1013
cmdstat_bench_key_1028:calls=601,total_time_us=137374,avg_time_us=228.58,min_time_us=1,max_time_us=39212
cmdstat_bench_key_1029:calls=589,total_time_us=35661,avg_time_us=60.54,min_time_us=1,max_time_us=24248
cmdstat_bench_key_103:calls=580,total_time_us=15289,avg_time_us=26.36,min_time_us=1,max_time_us=4319
cmdstat_bench_key_1030:calls=574,total_time_us=17615,avg_time_us=30.69,min_time_us=1,max_time_us=11189
cmdstat_bench_key_1031:calls=580,total_time_us=151089,avg_time_us=260.50,min_time_us=0,max_time_us=137994
cmdstat_bench_key_1032:calls=635,total_time_us=41366,avg_time_us=65.14,min_time_us=1,max_time_us=20458
cmdstat_bench_key_1033:calls=610,total_time_us=168560,avg_time_us=276.33,min_time_us=1,max_time_us=126490
cmdstat_bench_key_1034:calls=665,total_time_us=77092,avg_time_us=115.93,min_time_us=1,max_time_us=54861
cmdstat_bench_key_1035:calls=615,total_time_us=48909,avg_time_us=79.53,min_time_us=1,max_time_us=21883
cmdstat_bench_key_1036:calls=608,total_time_us=26817,avg_time_us=44.11,min_time_us=1,max_time_us=14599
cmdstat_bench_key_1037:calls=574,total_time_us=20597,avg_time_us=35.88,min_time_us=1,max_time_us=13163
cmdstat_bench_key_1038:calls=583,total_time_us=68040,avg_time_us=116.71,min_time_us=1,max_time_us=25039
cmdstat_bench_key_1039:calls=611,total_time_us=22461,avg_time_us=36.76,min_time_us=1,max_time_us=15266
cmdstat_bench_key_104:calls=525,total_time_us=11835,avg_time_us=22.54,min_time_us=1,max_time_us=3260
