elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000010,0.0000,1011594,
0.367348,43.5000,1030077,50316.032961
0.629244,36.2000,1043872,52673.601470
0.888108,47.6000,1054443,40836.088790
1.153687,38.1000,1067786,50241.173974
1.416127,48.2000,1081705,53036.891452
1.683559,54.8000,1096754,56272.304198
1.933656,35.6000,1100515,15038.148670
2.172319,37.1000,1110350,41208.740881
2.409442,32.3000,1123208,54225.019588
2.672583,38.4000,1137695,55054.151877
2.937507,36.6000,1154481,63361.556036
3.255393,39.1000,1158411,12362.918119
3.493678,49.2000,1174119,65921.043016
3.720298,55.6000,1194552,90164.262663
3.982885,37.7000,1204898,39400.300157
4.323484,55.0000,1220240,45044.164236
4.608083,44.6000,1234882,51447.814700
4.863418,58.0000,1250812,62388.545839
5.109477,47.7000,1258562,31496.549085
5.348355,53.5000,1274704,67574.172164
5.607424,41.0000,1282337,29463.224195
5.838097,36.3000,1292219,42839.850346
6.079276,44.8000,1302648,43241.743510
6.304950,55.9000,1315864,58562.311461
6.541009,36.0000,1326161,43620.504037
6.798710,48.7000,1340280,54788.267468
7.054699,60.2000,1355390,59025.956546
7.339380,52.5000,1372087,58651.645834
7.613307,47.2000,1383639,42171.823603
7.857532,38.0000,1400136,67548.360321
8.187321,45.2000,1410907,32660.260710
8.494617,36.2000,1420855,32372.692064
8.724672,53.7000,1438166,75247.270804
8.966996,44.2000,1446066,32600.965189
9.204572,40.8000,1453627,31825.636168
9.445159,41.9000,1462834,38268.901271
9.695367,47.7000,1478890,64170.574296
9.971081,85.6000,1499010,72974.189902
