# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=56238,avg_time_us=1874.60,min_time_us=11,max_time_us=7335
cmdstat_ping:calls=31,total_time_us=915,avg_time_us=29.52,min_time_us=6,max_time_us=224
cmdstat_bench_key_0:calls=2098,total_time_us=74658,avg_time_us=35.59,min_time_us=1,max_time_us=10768
cmdstat_bench_key_1:calls=2100,total_time_us=146392,avg_time_us=69.71,min_time_us=1,max_time_us=61984
cmdstat_bench_key_10:calls=2022,total_time_us=123222,avg_time_us=60.94,min_time_us=1,max_time_us=37210
cmdstat_bench_key_100:calls=2098,total_time_us=225637,avg_time_us=107.55,min_time_us=1,max_time_us=130693
cmdstat_bench_key_1000:calls=2081,total_time_us=53415,avg_time_us=25.67,min_time_us=1,max_time_us=11485
cmdstat_bench_key_1001:calls=1981,total_time_us=234989,avg_time_us=118.62,min_time_us=1,max_time_us=100009
cmdstat_bench_key_1002:calls=2065,total_time_us=134901,avg_time_us=65.33,min_time_us=1,max_time_us=30347
cmdstat_bench_key_1003:calls=2062,total_time_us=175844,avg_time_us=85.28,min_time_us=1,max_time_us=66339
cmdstat_bench_key_1004:calls=2061,total_time_us=63436,avg_time_us=30.78,min_time_us=1,max_time_us=9693
cmdstat_bench_key_1005:calls=2060,total_time_us=170566,avg_time_us=82.80,min_time_us=1,max_time_us=47691
cmdstat_bench_key_1006:calls=2072,total_time_us=221802,avg_time_us=107.05,min_time_us=1,max_time_us=104347
cmdstat_bench_key_1007:calls=2107,total_time_us=398358,avg_time_us=189.06,min_time_us=1,max_time_us=144325
cmdstat_bench_key_1008:calls=2041,total_time_us=146334,avg_time_us=71.70,min_time_us=1,max_time_us=55680
cmdstat_bench_key_1009:calls=2131,total_time_us=109148,avg_time_us=51.22,min_time_us=1,max_time_us=59424
cmdstat_bench_key_101:calls=2105,total_time_us=120278,avg_time_us=57.14,min_time_us=1,max_time_us=28437
cmdstat_bench_key_1010:calls=2135,total_time_us=157056,avg_time_us=73.56,min_time_us=1,max_time_us=37450
cmdstat_bench_key_1011:calls=2058,total_time_us=230684,avg_time_us=112.09,min_time_us=1,max_time_us=79855
cmdstat_bench_key_1012:calls=2095,total_time_us=86945,avg_time_us=41.50,min_time_us=1,max_time_us=16658
cmdstat_bench_key_1013:calls=2120,total_time_us=228887,avg_time_us=107.97,min_time_us=1,max_time_us=47884
cmdstat_bench_key_1014:calls=2070,total_time_us=203698,avg_time_us=98.40,min_time_us=1,max_time_us=75886
cmdstat_bench_key_1015:calls=2022,total_time_us=97537,avg_time_us=48.24,min_time_us=1,max_time_us=27320
cmdstat_bench_key_1016:calls=1992,total_time_us=175379,avg_time_us=88.04,min_time_us=1,max_time_us=55505
cmdstat_bench_key_1017:calls=2113,total_time_us=192351,avg_time_us=91.03,min_time_us=1,max_time_us=57858
cmdstat_bench_key_1018:calls=2118,total_time_us=404582,avg_time_us=191.02,min_time_us=1,max_time_us=154122
cmdstat_bench_key_1019:calls=2108,total_time_us=80636,avg_time_us=38.25,min_time_us=1,max_time_us=17375
cmdstat_bench_key_102:calls=2101,total_time_us=71526,avg_time_us=34.04,min_time_us=1,max_time_us=13087
cmdstat_bench_key_1020:calls=2041,total_time_us=116092,avg_time_us=56.88,min_time_us=1,max_time_us=35665
cmdstat_bench_key_1021:calls=2093,total_time_us=239724,avg_time_us=114.54,min_time_us=1,max_time_us=73166
cmdstat_bench_key_1022:calls=2115,total_time_us=171409,avg_time_us=81.04,min_time_us=1,max_time_us=56325
cmdstat_bench_key_1023:calls=2112,total_time_us=219191,avg_time_us=103.78,min_time_us=1,max_time_us=93871
cmdstat_bench_key_1024:calls=2094,total_time_us=380780,avg_time_us=181.84,min_time_us=1,max_time_us=134801
cmdstat_bench_key_1025:calls=2090,total_time_us=250805,avg_time_us=120.00,min_time_us=1,max_time_us=105921
cmdstat_bench_key_1026:calls=2053,total_time_us=128955,avg_time_us=62.81,min_time_us=1,max_time_us=70562
cmdstat_bench_key_1027:calls=2142,total_time_us=364551,avg_time_us=170.19,min_time_us=1,max_time_us=94518
cmdstat_bench_key_1028:calls=2092,total_time_us=142559,avg_time_us=68.14,min_time_us=1,max_time_us=27681
cmdstat_bench_key_1029:calls=2170,total_time_us=179763,avg_time_us=82.84,min_time_us=1,max_time_us=28725
cmdstat_bench_key_103:calls=2061,total_time_us=206272,avg_time_us=100.08,min_time_us=1,max_time_us=58171
cmdstat_bench_key_1030:calls=2127,total_time_us=112558,avg_time_us=52.92,min_time_us=1,max_time_us=15043
cmdstat_bench_key_1031:calls=1991,total_time_us=146184,avg_time_us=73.42,min_time_us=1,max_time_us=47907
cmdstat_bench_key_1032:calls=2083,total_time_us=148042,avg_time_us=71.07,min_time_us=1,max_time_us=49125
cmdstat_bench_key_1033:calls=2058,total_time_us=127373,avg_time_us=61.89,min_time_us=1,max_time_us=65955
cmdstat_bench_key_1034:calls=2067,total_time_us=113113,avg_time_us=54.72,min_time_us=1,max_time_us=61214
cmdstat_bench_key_1035:calls=2034,total_time_us=153630,avg_time_us=75.53,min_time_us=1,max_time_us=39535
cmdstat_bench_key_1036:calls=2062,total_time_us=69603,avg_time_us=33.76,min_time_us=1,max_time_us=11860
cmdstat_bench_key_1037:calls=2129,total_time_us=228266,avg_time_us=107.22,min_time_us=1,max_time_us=63424
cmdstat_bench_key_1038:calls=2129,total_time_us=100673,avg_time_us=47.29,min_time_us=1,max_time_us=37380
cmdstat_bench_key_1039:calls=2136,total_time_us=164605,avg_time_us=77.06,min_time_us=1,max_time_us=52104
cmdstat_bench_key_104:calls=2056,total_time_us=298935,avg_time_us=145.40,min_time_us=1,max_time_us=116360
cmdstat_bench_key_1040:calls=2119,total_time_us=104014,avg_time_us=49.09,min_time_us=1,max_time_us=27178
cmdstat_bench_key_1041:calls=2121,total_time_us=146642,avg_time_us=69.14,min_time_us=0,max_time_us=47166
