elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000011,0.0000,501725,
0.308064,34.6000,520311,60333.770470
0.572307,35.4000,532121,44693.728985
0.830310,47.8000,543608,44522.738721
1.060294,36.6000,547325,16161.973959
1.306547,39.2000,560205,52303.979072
1.549314,40.9000,566991,27952.717333
1.815177,41.3000,580741,51718.377559
2.056178,37.2000,589274,35406.508142
2.287488,56.5000,604844,67312.227338
2.577232,39.8000,618564,47352.122672
2.843623,57.2000,633204,54956.852766
3.089913,55.5000,648138,60635.843561
3.359415,57.0000,662845,54570.990600
3.595000,57.7000,675060,51849.656528
3.830199,43.5000,684126,38546.086415
4.070642,35.3000,692678,35567.717883
4.294976,40.3000,702225,42557.034547
4.532519,34.7000,710268,33859.151736
4.771304,36.5000,715704,22765.246360
5.013644,50.7000,730355,60456.361667
5.255882,45.7000,741102,44365.494236
5.507664,36.9000,755028,55309.712792
5.774253,35.8000,763091,30245.067233
6.015800,87.3000,786074,95149.141793
6.236304,95.5000,801863,71604.128465
6.467970,64.3000,813216,49005.928217
6.740892,39.4000,820249,25769.286236
7.047701,49.4000,834116,45197.473187
7.316234,41.7000,843291,34167.123942
7.550176,29.1000,847356,17376.099402
7.784745,48.8000,863803,70115.807719
8.040935,40.0000,879763,62297.556568
8.311183,49.8000,884347,16962.186722
8.545729,45.7000,899270,63625.060449
8.782849,57.2000,913651,60648.638960
9.022856,35.9000,918550,20411.911144
9.249448,52.8000,933240,64830.161070
9.502083,39.1000,946735,53416.934116
9.771685,50.6000,957762,40901.022741
10.016173,40.6000,971552,56403.641073
10.265553,49.9000,982347,43287.374631
10.543061,35.1000,995731,48229.236693
