elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000011,0.0000,4887,
0.401854,39.2000,26467,53702.555943
0.674066,56.1000,45538,70059.358159
0.963851,38.2000,59566,48408.357854
1.271943,47.6000,73589,45515.572650
1.561914,57.5000,92445,65027.220454
1.789523,51.5000,100938,37313.964389
2.048170,45.3000,110218,35879.054499
2.299277,34.6000,118240,31946.543585
2.578006,41.3000,130876,45334.363217
2.814730,58.8000,146146,64505.462401
3.073922,36.5000,151527,20760.672435
3.319579,40.3000,161768,41688.213114
3.544151,40.4000,169671,35191.395169
3.775643,58.0000,183200,58442.613627
4.010885,61.9000,199963,71258.494879
4.244752,52.8000,213127,56288.420084
4.480559,44.2000,220063,29413.892320
4.725078,42.9000,230136,41195.163542
4.952614,37.9000,237998,34552.743471
5.228246,35.1000,246930,32405.537425
5.493747,33.1000,259276,46500.762563
5.728770,69.2000,281056,92671.866515
5.961024,118.9000,301779,89225.578346
6.216181,70.1000,313877,47413.946280
6.485611,54.7000,324978,41201.771838
6.714850,42.9000,332435,32529.370761
6.992147,48.5000,347305,53624.809968
7.265420,40.4000,358935,42558.175800
7.560079,37.2000,368340,31918.262174
7.827243,42.2000,379130,40387.179133
8.084452,34.5000,391914,49702.758806
8.346892,47.3000,401877,37962.967852
8.583895,41.9000,417564,66189.011006
8.855929,43.3000,432143,53592.579460
9.107355,57.3000,447033,59222.200943
9.354823,46.0000,461765,59530.873175
9.644560,53.3000,476541,50998.018426
9.888420,56.5000,490037,55343.228285
10.117084,44.8000,499914,43194.351094
