elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000009,0.0000,2001541,
0.254032,34.6000,2021784,79689.610842
0.486849,71.6000,2047220,109253.109089
0.706882,226.1000,2087379,182513.589815
0.971933,234.3000,2121648,129292.153106
1.225139,231.8000,2157404,141213.075257
1.451718,251.0000,2193978,161418.348252
1.671734,260.3000,2230633,166601.337343
1.893737,267.4000,2267595,166493.437071
2.112317,271.3000,2304195,167444.408158
2.334490,274.1000,2341296,166991.506999
2.555432,154.0000,2348590,33013.185931
2.794932,80.2000,2357588,37569.930189
3.055261,55.1000,2368671,42573.050467
3.297484,53.7000,2383500,61220.439463
3.637848,53.1000,2397945,42439.890809
3.892780,56.1000,2419646,85124.525939
4.191793,63.3000,2434670,50245.323965
4.433765,49.8000,2443999,38554.052419
4.656186,68.1000,2468932,112098.262980
4.891437,95.4000,2486731,75659.630750
5.188336,61.9000,2498838,40778.166065
