# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=47272,avg_time_us=1575.73,min_time_us=17,max_time_us=3960
cmdstat_ping:calls=31,total_time_us=3046,avg_time_us=98.26,min_time_us=7,max_time_us=1329
cmdstat_bench_key_0:calls=3023,total_time_us=317017,avg_time_us=104.87,min_time_us=1,max_time_us=82193
cmdstat_bench_key_1:calls=2945,total_time_us=319684,avg_time_us=108.55,min_time_us=1,max_time_us=48500
cmdstat_bench_key_10:calls=3023,total_time_us=430991,avg_time_us=142.57,min_time_us=1,max_time_us=177382
cmdstat_bench_key_100:calls=2914,total_time_us=287966,avg_time_us=98.82,min_time_us=1,max_time_us=53560
cmdstat_bench_key_1000:calls=2935,total_time_us=306002,avg_time_us=104.26,min_time_us=1,max_time_us=141565
cmdstat_bench_key_1001:calls=3062,total_time_us=183270,avg_time_us=59.85,min_time_us=1,max_time_us=25831
cmdstat_bench_key_1002:calls=3009,total_time_us=444081,avg_time_us=147.58,min_time_us=1,max_time_us=91086
cmdstat_bench_key_1003:calls=3008,total_time_us=308982,avg_time_us=102.72,min_time_us=1,max_time_us=76952
cmdstat_bench_key_1004:calls=3046,total_time_us=118552,avg_time_us=38.92,min_time_us=1,max_time_us=21397
cmdstat_bench_key_1005:calls=3011,total_time_us=438752,avg_time_us=145.72,min_time_us=1,max_time_us=102388
cmdstat_bench_key_1006:calls=2982,total_time_us=311489,avg_time_us=104.46,min_time_us=1,max_time_us=113295
cmdstat_bench_key_1007:calls=2984,total_time_us=242319,avg_time_us=81.21,min_time_us=1,max_time_us=86435
cmdstat_bench_key_1008:calls=2921,total_time_us=292088,avg_time_us=100.00,min_time_us=1,max_time_us=51171
cmdstat_bench_key_1009:calls=2868,total_time_us=253942,avg_time_us=88.54,min_time_us=1,max_time_us=113780
cmdstat_bench_key_101:calls=2958,total_time_us=215425,avg_time_us=72.83,min_time_us=1,max_time_us=56573
cmdstat_bench_key_1010:calls=2961,total_time_us=598683,avg_time_us=202.19,min_time_us=1,max_time_us=117841
cmdstat_bench_key_1011:calls=3014,total_time_us=326995,avg_time_us=108.49,min_time_us=1,max_time_us=89187
cmdstat_bench_key_1012:calls=3003,total_time_us=289050,avg_time_us=96.25,min_time_us=1,max_time_us=42316
cmdstat_bench_key_1013:calls=3009,total_time_us=265412,avg_time_us=88.21,min_time_us=0,max_time_us=61188
cmdstat_bench_key_1014:calls=3018,total_time_us=133126,avg_time_us=44.11,min_time_us=1,max_time_us=28849
cmdstat_bench_key_1015:calls=2968,total_time_us=425261,avg_time_us=143.28,min_time_us=1,max_time_us=148780
cmdstat_bench_key_1016:calls=2924,total_time_us=146245,avg_time_us=50.02,min_time_us=1,max_time_us=36277
cmdstat_bench_key_1017:calls=2993,total_time_us=431141,avg_time_us=144.05,min_time_us=1,max_time_us=125498
cmdstat_bench_key_1018:calls=2867,total_time_us=350537,avg_time_us=122.27,min_time_us=1,max_time_us=49112
cmdstat_bench_key_1019:calls=2980,total_time_us=177251,avg_time_us=59.48,min_time_us=1,max_time_us=78534
cmdstat_bench_key_102:calls=2911,total_time_us=106969,avg_time_us=36.75,min_time_us=1,max_time_us=9483
cmdstat_bench_key_1020:calls=2903,total_time_us=134445,avg_time_us=46.31,min_time_us=1,max_time_us=21690
cmdstat_bench_key_1021:calls=2921,total_time_us=364222,avg_time_us=124.69,min_time_us=1,max_time_us=60569
cmdstat_bench_key_1022:calls=2988,total_time_us=163512,avg_time_us=54.72,min_time_us=1,max_time_us=36709
cmdstat_bench_key_1023:calls=2981,total_time_us=162598,avg_time_us=54.54,min_time_us=1,max_time_us=25104
cmdstat_bench_key_1024:calls=3001,total_time_us=221741,avg_time_us=73.89,min_time_us=1,max_time_us=42004
cmdstat_bench_key_1025:calls=2926,total_time_us=147898,avg_time_us=50.55,min_time_us=1,max_time_us=21736
cmdstat_bench_key_1026:calls=3004,total_time_us=125745,avg_time_us=41.86,min_time_us=1,max_time_us=59122
cmdstat_bench_key_1027:calls=2924,total_time_us=528664,avg_time_us=180.80,min_time_us=0,max_time_us=143844
cmdstat_bench_key_1028:calls=2977,total_time_us=132431,avg_time_us=44.48,min_time_us=1,max_time_us=29225
cmdstat_bench_key_1029:calls=2994,total_time_us=234234,avg_time_us=78.23,min_time_us=1,max_time_us=83521
cmdstat_bench_key_103:calls=2893,total_time_us=166015,avg_time_us=57.39,min_time_us=1,max_time_us=24209
cmdstat_bench_key_1030:calls=3010,total_time_us=157163,avg_time_us=52.21,min_time_us=1,max_time_us=27502
cmdstat_bench_key_1031:calls=3063,total_time_us=189948,avg_time_us=62.01,min_time_us=1,max_time_us=38122
cmdstat_bench_key_1032:calls=3022,total_time_us=298086,avg_time_us=98.64,min_time_us=1,max_time_us=135576
cmdstat_bench_key_1033:calls=3118,total_time_us=368453,avg_time_us=118.17,min_time_us=1,max_time_us=192203
cmdstat_bench_key_1034:calls=2946,total_time_us=542021,avg_time_us=183.99,min_time_us=1,max_time_us=172550
cmdstat_bench_key_1035:calls=3011,total_time_us=101153,avg_time_us=33.59,min_time_us=1,max_time_us=15443
cmdstat_bench_key_1036:calls=3004,total_time_us=133492,avg_time_us=44.44,min_time_us=1,max_time_us=20292
